Task	Points	Full points deadline	Expires at	Link override	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html
3 of 11 balls in 60 seconds	2400	2024-12-14 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_3_of_11_balls_in_60_seconds
5 of 11 balls in 60 seconds	1600	2024-12-14 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_5_of_11_balls_in_60_seconds
2 of 5 balls with 6 balls outside	2000	2024-12-09 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_2_of_5_balls_with_6_balls_outside
Dealing with opponent robot using 1 ball	2000	2024-12-09 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_dealing_with_opponent_robot_using_1_ball
Robot movable with remote controller	400	2024-12-09 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_robot_movable_with_remote_controller
Throwing range test	1200	2024-12-09 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_throwing_range_test
Ball holding test	1200	2024-12-09 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_ball_holding_test
Software documented	200	2025-01-09 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_software_documented
Group: mechanics
Omni wheels design completed	600	2024-09-30 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_omni_wheels_design_completed
Motor mounts design completed	200	2024-10-07 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_motor_mounts_design_completed
Camera mount design completed	200	2024-10-21 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_camera_mount_design_completed
Ball thrower design completed	600	2024-11-11 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_ball_thrower_design_completed
Adjustable ball throwing angle design completed	1200	2024-11-28 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_adjustable_ball_throwing_angle_design_completed
Ball holding thrower design completed	1200	2024-11-28 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_ball_holding_thrower_design_completed
Robot chassis design completed	1000	2024-11-11 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_robot_chassis_design_completed
Robot design completed	1000	2024-11-11 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_robot_design_completed
Whole new robot fabricated	1000	2024-11-25 20:00	2024-12-09 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_whole_new_robot_fabricated
Mechanics assembled	1600	2024-12-02 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_mechanics_assembled
Group: electronics
Mainboard schematic completed	1000	2024-10-14 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_mainboard_schematic_completed
Motor driver schematic completed	600	2024-10-14 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_motor_driver_schematic_completed
Mainboard design completed	1200	2024-11-04 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_mainboard_design_completed
Motor driver design completed	600	2024-11-04 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_motor_driver_design_completed
PCB(s) soldered properly	600	2024-11-18 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_pcbs_soldered_properly
PCB(s) working with firmware	1600	2024-12-02 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_pcbs_working_with_firmware
Throwing angle adjustable through mainboard	1000	2024-12-02 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_throwing_angle_adjustable_through_mainboard
Ball holder controllable through mainboard	1200	2024-12-02 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_ball_holder_controllable_through_mainboard
Thrower voltage regulator attached and working	400	2024-12-02 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_thrower_voltage_regulator_attached_and_working
Electronics attached to the robot and working	1200	2024-12-02 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_electronics_attached_to_the_robot_and_working
Mainboard documented	600	2025-01-09 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_mainboard_documented
Motor driver documented	600	2025-01-09 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_motor_driver_documented
Firmware documented	200	2025-01-09 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_firmware_documented
Group: progress_presentations
Progress presentation	200		2024-09-16 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_progress_presentation
Progress presentation	200		2024-09-30 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_progress_presentation
Progress presentation	200		2024-10-14 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_progress_presentation
Progress presentation	200		2024-10-28 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_progress_presentation
Progress presentation	200		2024-11-11 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_progress_presentation
Progress presentation	200		2024-11-25 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_progress_presentation
Progress presentation	200		2024-12-09 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_progress_presentation
Group: competitions
1st test competition	800		2024-11-07 20:00	test_competition	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition
1st test competition with new mechanics	100		2024-11-07 20:00	test_competition_with_new_mechanics	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_with_new_mechanics
1st test competition with new electronics	100		2024-11-07 20:00	test_competition_with_new_electronics	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_with_new_electronics
1st test competition winner	400		2024-11-07 20:00	test_competition_winner	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_winner
2nd test competition	600		2024-11-21 20:00	test_competition	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition
2nd test competition with new mechanics	200		2024-11-21 20:00	test_competition_with_new_mechanics	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_with_new_mechanics
2nd test competition with new electronics	200		2024-11-21 20:00	test_competition_with_new_electronics	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_with_new_electronics
2nd test competition winner	400		2024-11-21 20:00	test_competition_winner	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_winner
3rd test competition	400		2024-12-05 20:00	test_competition	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition
3rd test competition with new mechanics	300		2024-12-05 20:00	test_competition_with_new_mechanics	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_with_new_mechanics
3rd test competition with new electronics	300		2024-12-05 20:00	test_competition_with_new_electronics	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_with_new_electronics
3rd test competition winner	400		2024-12-05 20:00	test_competition_winner	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_winner
4th test competition	200		2024-12-12 20:00	test_competition	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition
4th test competition with new mechanics	400		2024-12-12 20:00	test_competition_with_new_mechanics	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_with_new_mechanics
4th test competition with new electronics	400		2024-12-12 20:00	test_competition_with_new_electronics	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_with_new_electronics
4th test competition winner	400		2024-12-12 20:00	test_competition_winner	https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_test_competition_winner
Delta X	2000		2024-12-14 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_delta_x
Delta X with new mechanics	2000		2024-12-14 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_delta_x_with_new_mechanics
Delta X with new electronics	2000		2024-12-14 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_delta_x_with_new_electronics
Delta X best course robot	1000		2024-12-14 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_delta_x_best_course_robot
Delta X 2nd best course robot	400		2024-12-14 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_delta_x_2nd_best_course_robot
Delta X 3rd best course robot	200		2024-12-14 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_delta_x_3rd_best_course_robot
Group: other
Team documentation started	200	2024-09-23 20:00	2024-11-18 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_team_documentation_started
Team documentation completed	400	2025-01-09 20:00	2025-01-15 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_team_documentation_completed
Final presentation	0		2025-01-16 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_final_presentation
Parts returned	0		2025-01-16 20:00		https://ut-robotics.github.io/picr-docs/2024/grading-and-tasks.html#_parts_returned
